Cement,Pumice,SilicaFume,Powder,W/P,SP,CA/FA,Type,Strength
450,0,0,450,0.4,0,1.5,1,60
450,0,0,600,0.3,0,1.5,1,55
382.5,67.5,0,600,0.3,0,1.481481481,1,45
450,67.5,0,600,0.3,0,1.498316498,1,69
500,0,0,600,0.3,1.2,0.663541667,2,48
450,50,0,600,0.27,1.2,0.660416667,2,49.5
400,100,0,600,0.24,1.2,0.657291667,2,41
350,150,0,600,0.21,1.2,0.655208333,2,39
500,0,0,600,0.333333333,1.2,0.632523759,2,42
450,50,0,600,0.3,1.2,0.629355861,2,43
400,100,0,600,0.266666667,1.2,0.626187962,2,33
350,150,0,600,0.233333333,1.2,0.621964097,2,27
520,0,0,520,0.37,2,1.278884462,1,65.7
494,26,0,520,0.37,2.105263158,1.278954608,1,63.6
468,52,0,520,0.37,2.222222222,1.279024928,1,61.3
416,104,0,520,0.37,2.5,1.279166091,1,57
478.4,0,41.6,520,0.37,2.173913043,1.278940801,1,70.7
452.4,26,41.6,520,0.37,2.298850575,1.278872848,1,67.9
426.4,52,41.6,520,0.37,2.43902439,1.278943711,1,66.3
374.4,104,41.6,520,0.37,2.777777778,1.278907774,1,62.8
500,0,0,500,0.36,0.65,0.680008065,2,37.1
450,50,0,500,0.324,0.65,0.680175135,2,35.3
400,100,0,500,0.288,0.65,0.679925994,2,34.2
350,150,0,500,0.252,0.65,0.680267215,2,33.4
300,200,0,500,0.216,0.65,0.680041365,2,31.8
500,0,0,500,0.4,0.46,0.680008317,2,35.2
450,50,0,500,0.36,0.46,0.680180653,2,34.1
400,100,0,500,0.32,0.46,0.679817584,2,32.2
350,150,0,500,0.28,0.46,0.680059366,2,30
300,200,0,500,0.24,0.46,0.680076833,2,31.7
550,0,0,550,0.4,0.727272727,0.863636364,2,43.1
522.5,27.5,0,550,0.4,0.765550239,0.852272727,2,42.6
495,55,0,550,0.4,0.808080808,0.840909091,2,41.3
467.5,82.5,0,550,0.4,0.855614973,0.829545455,2,39.3
440,110,0,550,0.4,0.909090909,0.818181818,2,37
412.5,137.5,0,550,0.4,0.96969697,0.806818182,2,36.5
385,165,0,550,0.4,1.038961039,0.795454545,2,35.6
500,0,0,500,0.382,0,0.542056075,2,39.1
450,50,0,500,0.382,0,0.555037313,2,38.6
400,100,0,500,0.382,0,0.555659495,2,37.2
350,150,0,500,0.382,0,0.555347092,2,35.8
300,200,0,500,0.382,0,0.555032926,2,31.9
250,250,0,500,0.382,0,0.555660377,2,28.7
350,125,25,500,0.382,0,0.555032926,2,43.4
250,225,25,500,0.382,0,0.555345317,2,42.1
200,200,50,450,0.424444444,0,0.555661275,2,54.3
500,0,0,500,0.36,0.65,0.679435484,2,36.4
425,75,0,500,0.36,0.647058824,0.679552391,2,35.2
350,150,0,500,0.36,0.928571429,0.68036999,2,34.3
500,0,0,500,0.4,0.45,0.67983368,2,35.2
425,75,0,500,0.4,0.470588235,0.680672269,2,34.1
350,150,0,500,0.4,0.642857143,0.681528662,2,31.4
392,0,0,392,0.4,0.7,1,2,33.53
349.2,38.8,0,388,0.4,0.9,1,2,32.48
309.4,77.4,0,386.8,0.399948294,1.05,1,2,30.27
316.4,38.1,27.6,382.1,0.399110181,1.05,1,2,34.7
301.4,37.7,37.7,376.8,0.399946921,1.1,1,2,36.03
275.9,75.6,26.5,378,0.4,1.2,1,2,31.21
260.7,74.5,37.2,372.4,0.400107411,1.25,1,2,30.95
389.2,0,0,389.2,0.449897225,0.6,1,2,32.38
347.4,38.6,0,386,0.45,0.75,1,2,29.06
304,76,0,380,0.45,0.95,1,2,25.97
311.4,37.5,26.3,375.2,0.44989339,0.9,1,2,31.87
298.2,37.3,37.3,372.8,0.450107296,1,1,2,34.98
271,74.2,26,371.2,0.449892241,1.1,1,2,27.02
257,73.4,36.7,367.1,0.45001362,1.15,1,2,26.85
550,0,0,550,0.4,0.727272727,0.863636364,2,43.1
522.5,27.5,0,550,0.4,0.765550239,0.852272727,2,42.4
495,55,0,550,0.4,0.808080808,0.840909091,2,41.2
467.5,82.5,0,550,0.4,0.855614973,0.829545455,2,39.6
440,110,0,550,0.4,0.909090909,0.818181818,2,36.4
412.5,137.5,0,550,0.4,0.96969697,0.806818182,2,36.2
385,165,0,550,0.4,1.038961039,0.795454545,2,35.3
400,0,0,400,0.45,0.5,1.032264664,1,53.1
360,40,0,400,0.45,0.555555556,1.032264664,1,60.7
340,60,0,400,0.45,0.588235294,1.032264664,1,57.9
320,80,0,400,0.45,0.625,1.032264664,1,54.7
300,100,0,400,0.45,0.666666667,1.032264664,1,54.9
500,0,0,500,0.42,1.5,0.834551425,1,70.1
450,50,0,500,0.42,1.666666667,0.834551425,1,65.4
400,100,0,500,0.42,1.875,0.834551425,1,64.7
650,0,0,650,0.38,1.076923077,0,1,74.3
617.5,32.5,0,650,0.38,1.133603239,0,1,79.1
585,65,0,650,0.38,1.196581197,0,1,82.1
552.5,97.5,0,650,0.4,1.266968326,0,1,86.3
520,130,0,650,0.42,1.346153846,0,1,84.4
487.5,162.5,0,650,0.42,1.435897436,0,1,78.9
455,195,0,650,0.42,1.538461538,0,1,70.2
422.5,227.5,0,650,0.42,1.656804734,0,1,60.3
400,0,0,400,0.48,0.9,0.570736434,2,36.2
400,20,0,420,0.48,1.1,0.570736434,2,33.7
400,40,0,440,0.48,1.1,0.570736434,2,33.9
400,60,0,460,0.48,1.1,0.570736434,2,30.1
400,80,0,480,0.48,1.1,0.570736434,2,28.7
400,20,32,452,0.48,1.2,0.570736434,2,44.3
400,40,32,472,0.48,1.2,0.570736434,2,32.8
400,60,32,492,0.48,1.2,0.570736434,2,41.4
400,80,32,512,0.48,1.25,0.570736434,2,37.6
400,0,0,476,0.38,1.1,0.875739645,1,68
360,40,0,475,0.38,1,0.957700651,1,64.3
320,80,0,475,0.38,1.03125,0.959738847,1,57.5
240,160,0,472,0.38,1.666666667,0.957423581,1,50
160,240,0,474,0.38,3.125,0.948913043,1,34.5
450,0,0,450,0.25,4,1.082514084,1,74.9
427.5,22.5,0,450,0.25,4.210526316,1.082797606,1,73.8
405,45,0,450,0.25,4.444444444,1.081961744,1,79.6
382.5,67.5,0,450,0.25,4.705882353,1.082142857,1,76.4
360,90,0,450,0.25,4.375,1.08209206,1,70.4
337.5,112.5,0,450,0.25,4.666666667,1.082040908,1,67.7
427.5,11.25,11.25,450,0.25,4.210526316,1.093414716,1,90.3
405,22.5,22.5,450,0.25,4.444444444,1.093391773,1,90.1
382.5,45,22.5,450,0.25,4.705882353,1.074706274,1,96.9
360,67.5,22.5,450,0.25,4.375,1.074630186,1,85.8
337.5,90,22.5,450,0.25,4.666666667,1.078163494,1,86
382.5,22.5,45,450,0.25,3.529411765,1.082142857,1,99.8
360,45,45,450,0.25,3.125,1.08209206,1,98.1
337.5,67.5,45,450,0.25,3.333333333,1.082040908,1,97.4
360,22.5,67.5,450,0.25,3.125,1.08209206,1,100.4
337.5,45,67.5,450,0.25,3.333333333,1.082040908,1,91.75
337.5,22.5,90,450,0.25,3.333333333,1.082040908,1,87.5
400,0,0,400,0.5,0,0.536912752,1,49.71
380,20,0,400,0.5,0,0.536912752,1,46.72
360,40,0,400,0.5,0,0.536912752,1,44.5
340,60,0,400,0.5,0,0.536912752,1,43.51
320,80,0,400,0.5,0,0.536912752,1,37.92
340,20,40,400,0.5,0,0.536912752,1,46.87
320,40,40,400,0.5,0,0.536912752,1,45.84
300,60,40,400,0.5,0,0.536912752,1,45.75
280,80,40,400,0.5,0,0.536912752,1,38.94
415,0,0,415,0.4,0,2,2,32.4
375,40,0,415,0.4,0,2.04620462,2,30.3
330,85,0,415,0.4,0,2.080536913,2,28.1
290,125,0,415,0.4,0,2.11965812,2,24.4
350,0,0,350,0.34,0,3.347826087,2,23.9
315,35,0,350,0.34,0,3.347826087,2,23.8
262.5,87.5,0,350,0.34,0,3.347826087,2,19.3
175,175,0,350,0.34,0,3.347826087,2,19.3
400,0,0,400,0.45,0,1.342105263,1,37.7
380,20,0,400,0.45,0,1.36,1,37.9
360,40,0,400,0.45,0,1.378378378,1,36.1
320,80,0,400,0.45,0,1.415277778,1,31.1
280,120,0,400,0.45,0,1.455714286,1,27.2
240,160,0,400,0.45,0,1.497058824,1,22.2
550,0,0,550,0.32,1.8,1.412921348,2,71.6
495,55,0,550,0.32,2,1.412921348,2,73.6
440,110,0,550,0.32,2.25,1.441260745,2,55.7
500,0,0,500,0.2,3,1.488521695,1,79.6
475,25,0,500,0.2,3.157894737,1.488666582,1,81.31
450,50,0,500,0.2,4.073333333,1.488434164,1,78.15
425,75,0,500,0.2,4.705882353,1.488579814,1,74.86
400,100,0,500,0.2,5.4175,1.488664019,1,73.37
550,0,0,550,0.32,1.8,1.289719626,2,71.6
495,55,0,550,0.32,2,1.303643725,2,73.6
440,110,0,550,0.32,2.25,1.31787176,2,55.7
385,165,0,550,0.32,2.571428571,1.332413793,2,47.8
400,0,0,400,0.45,0,1.342105263,1,38
320,80,0,400,0.45,0,1.415277778,1,31
400,0,0,400,0.35,0,1.341614907,1,49
320,80,0,400,0.35,0,1.332026144,1,42
400,0,0,400,0.45,0,1.342105263,2,37
320,80,0,400,0.45,0,1.415277778,2,30
400,0,0,400,0.35,0,1.341614907,2,48
320,80,0,400,0.35,0,1.332026144,2,41
550,0,0,550,0.32,1.8,1.412921348,2,71.8
495,55,0,550,0.32,2,1.431009957,2,73.4
450,100,0,550,0.32,2.2,1.449567723,2,63.1
395,155,0,550,0.32,2.506329114,1.468613139,2,49.8
380,0,0,380,0.5,0,1.777777778,2,21.8
323,57,0,380,0.5,0,1.777777778,2,22.5
285,95,0,380,0.5,0,1.777777778,2,24.6
247,133,0,380,0.5,0,1.777777778,2,17.9
400,0,0,400,0.5,0,0.536912752,1,49.71
380,20,0,400,0.5,0,0.536912752,1,46.72
360,40,0,400,0.5,0,0.536912752,1,44.5
340,60,0,400,0.5,0,0.536912752,1,43.51
320,80,0,400,0.5,0,0.536912752,1,37.92
340,20,40,400,0.5,0,0.536912752,1,46.87
320,40,40,400,0.5,0,0.536912752,1,45.84
300,60,40,400,0.5,0,0.536912752,1,45.75
280,80,40,400,0.5,0,0.536912752,1,38.94
427,0,0,427,0.480093677,0,2.030456853,2,33.5
384,31,0,415,0.493975904,0,2.030456853,2,35.2
341,62,0,403,0.508684864,0,2.030456853,2,33.5
299,91,0,390,0.525641026,0,2.030456853,2,30.9
256,122,0,378,0.542328042,0,2.030456853,2,25.1
500,0,0,500,0.3,1.5,1.356147022,2,58.3
450,50,0,500,0.302,1.666666667,1.41347424,2,59.1
400,100,0,500,0.304,1.875,1.443994602,2,60.2
450,50,0,500,0.306,1.666666667,1.41347424,2,52.1
400,100,0,500,0.308,1.875,1.443994602,2,50
400,0,0,580,0.303448276,0.8,0.851764706,2,38.72
340,60,0,580,0.257931034,0.8,0.851764706,2,29.5
320,80,0,580,0.242758621,0.8,0.851764706,2,32.53
300,100,0,580,0.227586207,0.8,0.851764706,2,32.61
420,0,0,420,0.38,0.44,1,2,64.2
357,63,0,420,0.38,0.52,1,2,63.2
294,126,0,420,0.38,0.54,1,2,58.1
336,63,21,420,0.38,0.55,1,2,72.4
273,126,21,420,0.38,0.58,1,2,61.7
520,0,0,520,0.485,0,0,1,47.5
520,0,0,520,0.44,0,0,1,48.8
520,0,0,520,0.4,0.24,0,1,51.5
416,104,0,520,0.485,0.1,0,1,38.5
416,104,0,520,0.44,0.19625,0,1,41.3
416,104,0,520,0.4,0.53475,0,1,46.5
350,0,0,350,0.5,0,1.083333333,1,42.8
315,35,0,350,0.45,0,1.083333333,1,38.2
297.5,52.5,0,350,0.425,0,1.083333333,1,38.9
280,70,0,350,0.4,0,1.083333333,1,39.7
550,0,0,550,0.4,0,0,2,45.39
522.5,27.5,0,550,0.401818182,2.296650718,0,2,33.048
467.5,82.5,0,550,0.403636364,4.49197861,0,2,27.846
450,0,0,450,0.42,0,1.223484848,1,40.689
360,90,0,450,0.42,0,1.223484848,1,23.355
270,180,0,450,0.42,0,1.223484848,1,17.145
180,270,0,450,0.42,0,1.223484848,1,13.837
90,360,0,450,0.42,0,1.223484848,1,10.26
0,450,0,450,0.42,0,1.223484848,1,0.268
0,450,0,450,0.42,0,1.223484848,1,0.26
0,360,0,450,0.42,0,1.223484848,1,0.414
0,270,0,450,0.42,0,1.223484848,1,0.685
0,180,0,450,0.42,0,1.223484848,1,0.54
0,90,0,450,0.42,0,1.223484848,1,0.408
0,0,0,450,0.42,0,1.223484848,1,0.278
360,90,0,450,0.42,0,1.223484848,1,24.047
288,90,0,450,0.42,0,1.223484848,1,21.06
360,90,0,450,0.42,0,1.223484848,1,23.182
360,72,0,450,0.42,0,1.223484848,1,20.944
360,54,0,450,0.42,0,1.223484848,1,23.142
360,36,0,450,0.42,0,1.223484848,1,25.545
360,18,0,450,0.42,0,1.223484848,1,25.2
360,0,0,450,0.42,0,1.223484848,1,27.336
360,0,0,450,0.42,0,1.223484848,1,27.336
359.64,15.21,0,450,0.42,0,1.223484848,1,20.15
256.95,128.7,0,450,0.42,0,1.223484848,1,12.555
225,168.75,0,450,0.42,0,1.223484848,1,5.382
199.8,199.8,0,450,0.42,0,1.223484848,1,1.36
180,225,0,450,0.42,0,1.223484848,1,0.959
360,0,0,450,0.42,0,1.223484848,1,26.733
288,72,0,450,0.42,0,1.223484848,1,21.528
216,144,0,450,0.42,0,1.223484848,1,9.38
144,216,0,450,0.42,0,1.223484848,1,4.795
72,288,0,450,0.42,0,1.223484848,1,1.703
0,360,0,450,0.42,0,1.223484848,1,0.405
360,0,0,450,0.422222222,0,1.223484848,1,27.336
360,18,0,450,0.424444444,0,1.223484848,1,23.76
360,36,0,450,0.426666667,0,1.223484848,1,25.74
360,54,0,450,0.428888889,0,1.223484848,1,23.142
360,72,0,450,0.431111111,0,1.223484848,1,20.944
360,90,0,450,0.433333333,0,1.223484848,1,23.009
650,0,0,650,0.38,1.076923077,7.20E-07,1,73.1
617.5,32.5,0,650,0.38,1.133603239,7.26E-07,1,79.1
585,65,0,650,0.38,1.196581197,7.29E-07,1,83.4
552.5,97.5,0,650,0.4,1.266968326,7.52E-07,1,88.7
520,130,0,650,0.42,1.346153846,7.76E-07,1,86.8
487.5,162.5,0,650,0.42,1.435897436,7.80E-07,1,76.7
455,195,0,650,0.42,1.538461538,7.84E-07,1,70.7
422.5,227.5,0,650,0.42,1.656804734,7.89E-07,1,60.4
388,0,0,388,0.399484536,0.31443299,1.220779221,1,50.3
330,58,0,388,0.399484536,0.303030303,1.221204188,1,51.4
450,0,0,450,0.5,0,0,1,46.986
427.5,22.5,0,450,0.502222222,0,0,1,47.396
400,50,0,450,0.504444444,0,0,1,50.102
382.5,67.5,0,450,0.506666667,0,0,1,49.364
360,90,0,450,0.508888889,0,0,1,46.74
400,0,0,500,0.45,0.8,0.566698202,2,39.1
360,40,0,500,0.5,0.9,0.566698202,2,38.6
320,80,0,500,0.5625,0.9,0.566698202,2,37.2
280,120,0,500,0.642857143,1,0.566698202,2,35.8
420,0,0,520,0.45,0.8,0.566698202,2,39.2
357,63,0,520,0.529411765,0.9,0.566253575,2,29.5
420,0,0,520,0.48,0.8,0.570736434,2,48.1
357,63,0,520,0.564705882,1.1,0.570736434,2,36.5
350,0,0,350,0.514,0.5,0.786096257,2,37.6
332.5,17.5,0,350,0.514,0.5,0.786096257,2,35.2
315,35,0,350,0.514,0.6,0.786096257,2,35.1
297.5,52.5,0,350,0.514,0.7,0.786096257,2,33.8
280,70,0,350,0.514,0.7,0.786096257,2,32
262.5,87.5,0,350,0.514,0.75,0.786096257,2,29.3
350,46.7,0,396.7,0.514,0.5,0.827423168,2,37.7
350,93.5,0,443.5,0.514,0.5,0.873440285,2,36.8
350,140.25,0,490.25,0.514,0.5,0.924819126,2,36.6
350,187,0,537,0.514,0.5,0.982620321,2,36.2
350,233.75,0,583.75,0.514,0.5,1.048128342,2,35.3
400,0,0,400,0.35,0,0.991489362,2,56.5
360,40,0,400,0.35,0,0.994652406,2,58.5
320,80,0,400,0.35,0,0.994623656,2,43.3
280,120,0,400,0.35,0,0.99137931,2,31.2
500,0,0,500,0.36,0.65,0.680008065,2,34.7
450,50,0,500,0.36,0.722222222,0.680175135,2,35.2
400,100,0,500,0.36,0.8125,0.679925994,2,34.5
350,150,0,500,0.36,0.928571429,0.680267215,2,32.2
300,200,0,500,0.36,1.083333333,0.680041365,2,31.6
500,0,0,500,0.4,0.46,0.680008317,2,35
450,50,0,500,0.4,0.511111111,0.680180653,2,33.2
400,100,0,500,0.4,0.575,0.679817584,2,31.8
350,150,0,500,0.4,0.657142857,0.680059366,2,30.1
300,200,0,500,0.4,0.766666667,0.680076833,2,28.4
400,0,0,457,0.271334792,1.5,0.645217391,2,64.1
380,20,0,457,0.257768053,2.105263158,0.64465682,2,70.6
360,40,0,457,0.244201313,2.222222222,0.644097222,2,61.4
340,60,0,457,0.230634573,2.823529412,0.643538595,2,60.4
320,80,0,457,0.217067834,3,0.642980936,2,51.3
385,165,0,550,0.4,1.038961039,0.795454545,2,35.2
